antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2015 reg,Manual,3L M135i,"BMW, ,1 Series","67,907 miles",Petrol,"£15,250"
2019 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","30,240 miles",Petrol,"£15,300"
2018 reg,Manual,1.5L M Sport 216d,"BMW, ,2 Series Active Tourer","35,470 miles",Diesel,"£15,300"
2019 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","38,509 miles",Petrol,"£15,450"
2017 reg,Manual,2L Sport 120i,"BMW, ,1 Series","18,568 miles",Petrol,"£15,450"
2018 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","19,631 miles",Petrol,"£15,600"
2017 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","26,864 miles",Petrol,"£15,600"
2017 reg,Automatic,1.5L M Sport 116d,"BMW, ,1 Series","37,435 miles",Diesel,"£15,700"
2018 reg,Manual,2L M Sport 18d,"BMW, ,X1","61,926 miles",Diesel,"£15,700"
2018 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","26,365 miles",Petrol,"£15,750"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","60,725 miles",Diesel,"£15,750"
2017 reg,Automatic,2L Sport 218d,"BMW, ,2 Series","47,004 miles",Diesel,"£15,850"
2019 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","15,851 miles",Petrol,"£15,850"
2018 reg,Automatic,1.5L SE 118i,"BMW, ,1 Series","34,641 miles",Petrol,"£15,900"
2017 reg,Manual,2L M Sport 420d,"BMW, ,4 Series Gran Coupe","54,692 miles",Diesel,"£15,950"
2016 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","36,873 miles",Petrol,"£15,950"
2019 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","21,109 miles",Petrol,"£15,950"
2019 reg,Manual,1.5L SE 118i,"BMW, ,1 Series","15,908 miles",Petrol,"£16,000"
2017 reg,Automatic,1.5L SE 118i,"BMW, ,1 Series","14,174 miles",Petrol,"£16,050"
2018 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","45,602 miles",Petrol,"£16,100"
2016 reg,Manual,1.5L Sport 218i,"BMW, ,2 Series","11,417 miles",Petrol,"£16,100"
2016 reg,Automatic,2L M Sport 118d,"BMW, ,1 Series","19,781 miles",Diesel,"£16,150"
2017 reg,Automatic,2L Luxury 330e,"BMW, ,3 Series","57,373 miles",Plug-in hybrid,"£16,150"
2018 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","39,923 miles",Petrol,"£16,300"
2016 reg,Automatic,2L SE 520d,"BMW, ,5 Series","27,252 miles",Diesel,"£16,300"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","38,761 miles",Diesel,"£16,300"
2017 reg,Automatic,1.5L Sport 218i,"BMW, ,2 Series","22,804 miles",Petrol,"£16,350"
2017 reg,Manual,2L SE 18d,"BMW, ,X1","18,248 miles",Diesel,"£16,350"
2017 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","24,072 miles",Petrol,"£16,400"
2018 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","14,972 miles",Petrol,"£16,400"
2019 reg,Manual,1.5L SE 218i,"BMW, ,2 Series Gran Tourer","17,731 miles",Petrol,"£16,400"
2018 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","26,021 miles",Petrol,"£16,400"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","31,297 miles",Petrol,"£16,550"
2015 reg,Automatic,2L Sport 320d,"BMW, ,3 Series","26,159 miles",Diesel,"£16,600"
2018 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series Active Tourer","35,927 miles",Petrol,"£16,650"
2016 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series Gran Tourer","24,360 miles",Petrol,"£16,650"
2017 reg,Automatic,2L Sport 320i,"BMW, ,3 Series","26,195 miles",Petrol,"£16,700"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","53,056 miles",Petrol,"£16,700"
2019 reg,Manual,2L SE 218d,"BMW, ,2 Series Active Tourer","12,430 miles",Diesel,"£16,750"
2018 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","31,787 miles",Petrol,"£16,800"
2017 reg,Automatic,2L Sport 118d,"BMW, ,1 Series","17,538 miles",Diesel,"£16,800"
2016 reg,Manual,2L Sport 220i,"BMW, ,2 Series","26,612 miles",Petrol,"£16,850"
2019 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","34,757 miles",Petrol,"£16,850"
2019 reg,Manual,2L SE 320d,"BMW, ,3 Series","42,225 miles",Diesel,"£16,850"
2018 reg,Automatic,2L Sport 20d,"BMW, ,X1","52,338 miles",Diesel,"£16,950"
2019 reg,Automatic,1.5L M Sport Shadow Edition 116d,"BMW, ,1 Series","59,179 miles",Diesel,"£17,000"
2015 reg,Automatic,2L Luxury 428i,"BMW, ,4 Series","13,182 miles",Petrol,"£17,050"
2021 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","15,081 miles",Petrol,"£33,700"
2018 reg,Automatic,3L M50d,"BMW, ,X6","47,496 miles",Diesel,"£33,750"
2019 reg,Automatic,3L M Sport 30d,"BMW, ,X4","40,190 miles",Diesel,"£33,800"
2020 reg,Automatic,2L M Sport 30i,"BMW, ,Z4","32,547 miles",Petrol,"£34,100"
2021 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","11,404 miles",Petrol,"£34,150"
2019 reg,Automatic,3L M Sport 730d,"BMW, ,7 Series","36,744 miles",Diesel,"£34,400"
2022 reg,Automatic,2L xLine 20i,"BMW, ,X1","3,242 miles",Petrol,"£34,550"
2017 reg,Automatic,3L M50d,"BMW, ,X5","46,700 miles",Diesel,"£34,550"
2021 reg,Automatic,2L xLine 20i,"BMW, ,X1","7,261 miles",Petrol,"£34,700"
2022 reg,Automatic,2L xLine 18d,"BMW, ,X1","1,958 miles",Diesel,"£34,950"
2019 reg,Automatic,3L M40i,"BMW, ,X3","27,295 miles",Petrol,"£35,000"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X4","16,026 miles",Diesel,"£36,500"
2019 reg,Automatic,3L M Sport Plus Edition 330d,"BMW, ,3 Series","21,140 miles",Diesel,"£37,400"
2021 reg,Automatic,2L M Sport MHT 20d,"BMW, ,X3","10,262 miles",Diesel,"£37,600"
2021 reg,Automatic,1.5L xLine 25e,"BMW, ,X1","5,897 miles",Plug-in hybrid,"£37,650"
2019 reg,Automatic,3L Competition BiTurbo,"BMW, ,M2","23,747 miles",Petrol,"£38,100"
2021 reg,Automatic,2L M Sport MHT 20d,"BMW, ,X3","3,507 miles",Diesel,"£39,300"
2021 reg,Automatic,2L M Sport 20i,"BMW, ,X3","5,737 miles",Petrol,"£39,600"
2022 reg,Automatic,2L M Sport MHT 420d,"BMW, ,4 Series Gran Coupe","2,217 miles",Diesel,"£40,100"
2019 reg,Manual,3L Competition BiTurbo,"BMW, ,M2","15,413 miles",Petrol,"£42,200"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","3,192 miles",Plug-in hybrid,"£42,600"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,786 miles",Plug-in hybrid,"£42,700"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,552 miles",Plug-in hybrid,"£42,750"
2021 reg,Automatic,3L MHT M340i,"BMW, ,3 Series","14,089 miles",Petrol,"£42,800"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,019 miles",Plug-in hybrid,"£42,850"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","3,571 miles",Plug-in hybrid,"£42,950"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","1,660 miles",Plug-in hybrid,"£42,950"
2020 reg,Automatic,3L M340i,"BMW, ,3 Series","16,367 miles",Petrol,"£43,100"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,633 miles",Plug-in hybrid,"£43,150"
2022 reg,Automatic,1.5L M Sport 25e,"BMW, ,X1","2,368 miles",Plug-in hybrid,"£43,200"
2016 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","66,266 miles",Diesel,"£17,050"
2019 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","25,123 miles",Petrol,"£17,100"
2016 reg,Manual,2L M Sport 420i,"BMW, ,4 Series","27,754 miles",Petrol,"£17,100"
2016 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","36,465 miles",Diesel,"£17,150"
2017 reg,Manual,2L M Sport 218d,"BMW, ,2 Series","16,285 miles",Diesel,"£17,150"
2015 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","42,867 miles",Diesel,"£17,200"
2018 reg,Manual,1.5L Sport 318i,"BMW, ,3 Series","11,424 miles",Petrol,"£17,200"
2018 reg,Manual,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","35,563 miles",Petrol,"£17,250"
2018 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","34,796 miles",Petrol,"£17,250"
2018 reg,Automatic,2L ED Plus 320d,"BMW, ,3 Series","27,438 miles",Diesel,"£17,250"
2019 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","32,681 miles",Petrol,"£17,350"
